feature,importance
feature_1,2.5294626988843714
feature_6,1.5367234238086567
feature_4,1.4311256487602253
feature_8,1.2518366214844852
feature_7,1.1195060515874504
feature_0,0.7910293981765761
feature_2,0.7026457283704943
feature_13,0.21386846918778588
feature_5,0.16701485469157373
feature_3,0.1619254087934337
feature_14,0.14137838629265598
feature_10,0.08215154423564293
feature_12,0.034891593252485094
feature_11,0.01480015297008878
feature_9,0.009920870737002402
feature_15,0.008640732234521137
